name,mesh,p,ndof,n_bd,n_int,nnz_A_lower,nnz_M_lower,hmax,A_file,M_file,info_file,dof_convention,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6
square_p1_n8,unit_square_8,1,81,32,49,133,169,1.7677669530e-01,square_p1_n8_A.mtx,square_p1_n8_M.mtx,square_p1_n8_info.txt,interior-restricted,20.505544897708,52.629792311576,54.604071815407,90.628210288126,113.986360652613,115.355300607266
lshape_p1_n4,lshape_4,1,65,32,33,85,106,3.5355339059e-01,lshape_p1_n4_A.mtx,lshape_p1_n4_M.mtx,lshape_p1_n4_info.txt,interior-restricted,10.573955451157,16.947623655016,22.819007167809,36.222731077006,39.010496207547,53.140863489924
equilateral_p1_n8,equilateral_8,1,45,24,21,66,66,1.2500000000e-01,equilateral_p1_n8_A.mtx,equilateral_p1_n8_M.mtx,equilateral_p1_n8_info.txt,interior-restricted,55.395424027847,138.193837682329,138.193837682330,256.000000000000,282.614540554449,282.614540554449
square_p1_n16,unit_square_16,1,289,64,225,645,841,8.8388347648e-02,square_p1_n16_A.mtx,square_p1_n16_M.mtx,square_p1_n16_info.txt,interior-restricted,19.929789842217,50.166386555387,50.632876191651,81.971342990478,102.460389603708,102.545229657477
lshape_p1_n8,lshape_8,1,225,64,161,453,586,1.7677669530e-01,lshape_p1_n8_A.mtx,lshape_p1_n8_M.mtx,lshape_p1_n8_info.txt,interior-restricted,9.916549032001,15.633283594974,20.502315785506,31.190391873912,33.752894618005,44.408601266322
square_p2_n8,unit_square_8,2,289,64,225,1093,1227,1.7677669530e-01,square_p2_n8_A.mtx,square_p2_n8_M.mtx,square_p2_n8_info.txt,interior-restricted,19.743645683049,49.387952569913,49.421595111538,79.218517974231,99.068945045439,99.070484141195
square_p1_n32,unit_square_32,1,1089,128,961,2821,3721,4.4194173824e-02,square_p1_n32_A.mtx,square_p1_n32_M.mtx,square_p1_n32_info.txt,interior-restricted,19.786792290189,49.552526118830,49.667361249365,79.716063720517,99.632882764760,99.638108720397
lshape_graded_p1_n16,lshape_graded_16,1,833,128,705,2697,2698,1.3048881822e-01,lshape_graded_p1_n16_A.mtx,lshape_graded_p1_n16_M.mtx,lshape_graded_p1_n16_info.txt,interior-restricted,9.706704187071,15.362107094485,20.003755742753,30.098089316735,32.493435079279,42.368592809695
lshape_p1_n16,lshape_16,1,833,128,705,2053,2698,8.8388347648e-02,lshape_p1_n16_A.mtx,lshape_p1_n16_M.mtx,lshape_p1_n16_info.txt,interior-restricted,9.728372729312,15.306564741782,19.929584637490,29.938542867846,32.416286273561,42.239137603904
lshape_p2_n16,lshape_16,2,3201,256,2945,15575,17631,8.8388347648e-02,lshape_p2_n16_A.mtx,lshape_p2_n16_M.mtx,lshape_p2_n16_info.txt,interior-restricted,9.649150922583,15.197528419772,19.739491946041,29.522468297035,31.936179915744,41.493586523829
square_p2_n32,unit_square_32,2,4225,256,3969,21205,24027,4.4194173824e-02,square_p2_n32_A.mtx,square_p2_n32_M.mtx,square_p2_n32_info.txt,interior-restricted,19.739226596745,49.348188037102,49.348325212818,78.957967741061,98.697649683791,98.697649711413
